id,name
1,Batulawang
2,Tuncheng
3,Aotou
4,Rutul
5,Longgang
6,Stockholm
7,Nkhotakota
8,Bekondo
9,Jincheng
10,Dolavón
11,Ciangir
12,Nyaungdon
13,Clichy
14,Tanghu
15,Belang
16,Nampera
17,Guilin
18,Machagai
19,Sanqu
20,Hule
21,Leleque
22,Kertasari
23,Massy
24,Qaraçuxur
25,Nové Strašecí
26,München
27,Sastöbe
28,Koanara
29,Zhangbang
30,Al ‘Āliyah
31,Oslo
32,Falun
33,Orvalho
34,Lālmohan
35,Xiejiaya
36,Ziyang Chengguanzhen
37,Alunda
38,Sātkania
39,Boñgalon
40,Fengle
41,Privolzhskiy
42,Sypniewo
43,Phetchabun
44,Magisterial
45,Omiš
46,Niquinohomo
47,Bangad
48,Dunaújváros
49,Quípama
50,Sremčica
51,Nowlamary
52,Roriz
53,Lápas
54,Arrën
55,Wārāh
56,Baishi
57,Lazaro Cardenas
58,Sijing
59,Obo
60,Donggong
61,la Massana
62,Vineuil
63,Podgortsy
64,Vođinci
65,Jabonga
66,Pingtang
67,Saravia
68,Idenao
69,Ti-n-Essako
70,Laizhou
71,Semarang
72,Malayal
73,São João del Rei
74,Sadowie
75,Guinsadan
76,Bodø
77,Don Carlos
78,Triwil
79,Ochakovo-Matveyevskoye
80,Sungaibengkal
81,Ts’khinvali
82,Changjiang
83,Cái Nhum
84,Caba
85,Wucun
86,San Juan
87,Haiyanmiao
88,Rozkishne
89,Aquin
90,Luchingu
91,Těšany
92,Guli
93,Cabreúva
94,Gachancipá
95,San Javier
96,Jelbuk
97,Damnica
98,La Dorada
99,Kulunda
100,Nangaroro
101,Qutqashen
102,Pietermaritzburg
103,Ban Takhun
104,Kalmar
105,Lecherías
106,Póvoa de Penela
107,Ash Shiḩr
108,Camaligan
109,Penglai
110,Norrtälje
111,Frutal
112,Choros
113,Walenrang
114,Anse Boileau
115,Duang
116,Wujingfu
117,Nakhon Phanom
118,Hoopstad
119,Quanyang
120,Blois
121,Petrolina de Goiás
122,San Fernando
123,Sumurwaru
124,Hasaki
125,Tangjiawan
126,Debre Mark’os
127,Goroka
128,Mandalgovi
129,Nova Iguaçu
130,Xiangzhou
131,Bourg-en-Bresse
132,Bitola
133,Ignacio Zaragoza
134,Oughterard
