id,name
1,Afghanistan
2,Albania
3,Algeria
4,Andorra
5,Angola
6,Antigua and Barbuda
7,Argentina
8,Armenia
9,Australia
10,Austria
11,Azerbaijan
12,Bahamas
13,Bahrain
14,Bangladesh
15,Barbados
16,Belarus
17,Belgium
18,Belize
19,Benin
20,Bhutan
21,Bolivia (Plurinational State of)
22,Bosnia and Herzegovina
23,Botswana
24,Brazil
25,Brunei Darussalam
26,Bulgaria
27,Burkina Faso
28,Burundi
29,Cabo Verde
30,Cambodia
31,Cameroon
32,Canada
33,Central African Republic
34,Chad
35,Chile
36,China
37,Colombia
38,Comoros
39,Congo
40,"Congo, Democratic Republic of the"
41,Costa Rica
42,Côte d'Ivoire
43,Croatia
44,Cuba
45,Cyprus
46,Czechia
47,Denmark
48,Djibouti
49,Dominica
50,Dominican Republic
51,Ecuador
52,Egypt
53,El Salvador
54,Equatorial Guinea
55,Eritrea
56,Estonia
57,Eswatini
58,Ethiopia
59,Fiji
60,Finland
61,France
62,Gabon
63,Gambia
64,Georgia
65,Germany
66,Ghana
67,Greece
68,Grenada
69,Guatemala
70,Guinea
71,Guinea-Bissau
72,Guyana
73,Haiti
74,Honduras
75,Hungary
76,Iceland
77,India
78,Indonesia
79,Iran (Islamic Republic of)
80,Iraq
81,Ireland
82,Israel
83,Italy
84,Jamaica
85,Japan
86,Jordan
87,Kazakhstan
88,Kenya
89,Kiribati
90,Korea (Democratic People's Republic of)
91,"Korea, Republic of"
92,Kuwait
93,Kyrgyzstan
94,Lao People's Democratic Republic
95,Latvia
96,Lebanon
97,Lesotho
98,Liberia
99,Libya
100,Liechtenstein
101,Lithuania
102,Luxembourg
103,Madagascar
104,Malawi
105,Malaysia
106,Maldives
107,Mali
108,Malta
109,Marshall Islands
110,Mauritania
111,Mauritius
112,Mexico
113,Micronesia (Federated States of)
114,"Moldova, Republic of"
115,Monaco
116,Mongolia
117,Montenegro
118,Morocco
119,Mozambique
120,Myanmar
121,Namibia
122,Nauru
123,Nepal
124,Netherlands
125,New Zealand
126,Nicaragua
127,Niger
128,Nigeria
129,North Macedonia
130,Norway
131,Oman
132,Pakistan
133,Palau
134,Panama
135,Papua New Guinea
136,Paraguay
137,Peru
138,Philippines
139,Poland
140,Portugal
141,Qatar
142,Romania
143,Russian Federation
144,Rwanda
145,Saint Kitts and Nevis
146,Saint Lucia
147,Saint Vincent and the Grenadines
148,Samoa
149,San Marino
150,Sao Tome and Principe
151,Saudi Arabia
152,Senegal
153,Serbia
154,Seychelles
155,Sierra Leone
156,Singapore
157,Slovakia
158,Slovenia
159,Solomon Islands
160,Somalia
161,South Africa
162,South Sudan
163,Spain
164,Sri Lanka
165,Sudan
166,Suriname
167,Sweden
168,Switzerland
169,Syrian Arab Republic
170,Tajikistan
171,"Tanzania, United Republic of"
172,Thailand
173,Timor-Leste
174,Togo
175,Tonga
176,Trinidad and Tobago
177,Tunisia
178,Turkey
179,Turkmenistan
180,Tuvalu
181,Uganda
182,Ukraine
183,United Arab Emirates
184,United Kingdom of Great Britain and Northern Ireland
185,United States of America
186,Uruguay
187,Uzbekistan
188,Vanuatu
189,Venezuela (Bolivarian Republic of)
190,Vietnam
191,Yemen
192,Zambia
193,Zimbabwe
